game_number	player_bankrupt	turn
205	Hero	50
205	Bob	51
205	Alice	62
208	Bob	37
208	Hero	46
208	Charly	47
206	Charly	106
206	Hero	114
206	Alice	122
209	Alice	34
209	Charly	43
209	Hero	61
210	Alice	26
210	Charly	38
210	Bob	39
212	Charly	66
212	Bob	74
212	Hero	83
213	Alice	34
213	Charly	44
213	Hero	59
215	Hero	34
215	Bob	37
215	Alice	39
214	Alice	35
214	Charly	36
214	Bob	44
216	Alice	25
216	Hero	48
216	Charly	59
217	Hero	62
217	Bob	77
217	Charly	80
218	Hero	43
218	Bob	43
218	Charly	48
219	Bob	48
219	Alice	57
219	Hero	64
220	Hero	15
220	Alice	41
220	Charly	55
221	Alice	42
221	Bob	47
221	Charly	51
222	Bob	50
222	Charly	64
222	Alice	65
225	Bob	47
225	Hero	60
225	Charly	66
226	Alice	14
226	Charly	15
226	Hero	58
227	Alice	60
227	Bob	64
227	Hero	71
230	Charly	38
230	Hero	58
230	Alice	81
231	Hero	39
231	Charly	39
231	Bob	50
232	Charly	43
232	Alice	45
232	Hero	49
233	Alice	34
233	Charly	38
233	Bob	39
235	Alice	55
235	Charly	59
235	Hero	65
237	Alice	27
237	Hero	29
237	Bob	41
238	Charly	54
238	Hero	56
238	Bob	65
239	Hero	45
239	Alice	63
239	Charly	84
242	Bob	25
242	Charly	41
242	Hero	44
243	Hero	32
243	Charly	44
243	Bob	47
245	Hero	54
245	Bob	56
245	Alice	93
248	Alice	26
248	Charly	30
248	Hero	32
250	Charly	37
250	Hero	40
250	Alice	44
251	Alice	35
251	Bob	48
251	Hero	57
253	Bob	44
253	Alice	53
253	Charly	54
254	Bob	49
254	Charly	55
254	Alice	57
255	Bob	45
255	Charly	48
255	Alice	61
259	Hero	35
259	Charly	40
259	Alice	41
258	Charly	52
258	Bob	225
261	Charly	47
261	Bob	50
261	Alice	53
260	Hero	110
260	Charly	114
260	Bob	125
262	Charly	47
262	Hero	78
262	Alice	82
265	Hero	16
265	Bob	26
265	Alice	37
266	Hero	56
266	Bob	61
266	Charly	87
268	Hero	45
268	Bob	51
268	Charly	53
269	Charly	50
269	Bob	60
269	Hero	77
270	Charly	63
270	Bob	73
270	Alice	91
274	Charly	34
274	Hero	45
274	Alice	68
273	Bob	63
273	Hero	116
273	Alice	125
277	Alice	63
277	Hero	78
277	Charly	95
280	Charly	39
280	Bob	52
280	Hero	61
282	Hero	43
282	Bob	48
282	Charly	53
285	Charly	27
285	Bob	31
285	Alice	37
286	Charly	54
286	Hero	58
286	Alice	58
288	Charly	35
288	Bob	54
288	Alice	63
287	Bob	36
287	Alice	41
287	Hero	110
290	Bob	35
290	Hero	37
290	Alice	44
289	Charly	69
289	Bob	89
289	Hero	92
291	Hero	59
291	Bob	67
291	Alice	68
294	Alice	59
294	Hero	62
294	Charly	63
293	Hero	77
293	Charly	100
293	Bob	106
292	Bob	80
292	Alice	101
292	Hero	135
296	Alice	42
296	Hero	50
296	Bob	52
298	Alice	53
298	Bob	53
298	Hero	70
300	Alice	33
300	Bob	47
300	Charly	55
299	Charly	80
299	Hero	92
299	Alice	99
303	Alice	22
303	Charly	40
303	Hero	45
302	Charly	32
302	Alice	34
302	Hero	38
305	Charly	19
305	Alice	24
305	Bob	48
306	Bob	44
306	Alice	48
306	Hero	49
308	Alice	65
308	Charly	89
308	Bob	109
309	Alice	29
309	Bob	52
309	Charly	56
310	Bob	57
310	Alice	64
310	Hero	75
311	Bob	83
311	Alice	85
311	Charly	85
312	Charly	44
312	Alice	57
312	Hero	80
313	Charly	45
313	Bob	48
313	Alice	80
314	Hero	42
314	Bob	44
314	Alice	53
317	Hero	35
317	Alice	47
317	Charly	50
316	Alice	57
316	Charly	59
316	Bob	61
320	Charly	17
320	Bob	21
320	Alice	28
319	Bob	30
319	Hero	56
319	Charly	98
322	Alice	56
322	Charly	132
322	Bob	134
324	Charly	57
324	Bob	60
324	Alice	69
325	Alice	39
325	Hero	42
325	Charly	53
326	Alice	57
326	Bob	73
326	Hero	81
327	Charly	34
327	Hero	43
327	Alice	44
330	Hero	28
330	Bob	30
330	Charly	36
332	Hero	23
332	Charly	28
332	Bob	51
333	Bob	32
