game_number	player_bankrupt	turn
842	Alice	42
842	Hero	47
843	Hero	38
843	Charly	38
843	Alice	41
844	Charly	35
844	Hero	40
844	Bob	43
846	Alice	59
846	Bob	65
846	Charly	88
847	Charly	27
847	Bob	32
847	Alice	33
848	Hero	38
848	Bob	42
848	Charly	81
841	Bob	69
852	Hero	37
852	Alice	41
852	Bob	58
853	Bob	34
853	Charly	39
853	Hero	43
854	Charly	40
854	Hero	41
854	Bob	45
857	Alice	54
857	Charly	59
857	Hero	61
856	Alice	47
856	Charly	49
856	Bob	101
858	Bob	63
858	Charly	71
858	Hero	118
859	Charly	42
859	Alice	56
859	Hero	81
862	Bob	33
862	Alice	37
862	Hero	51
863	Alice	65
863	Hero	72
863	Bob	77
865	Alice	46
865	Hero	61
865	Bob	81
869	Bob	42
869	Hero	45
869	Charly	46
871	Hero	68
871	Charly	77
871	Bob	96
873	Hero	43
873	Charly	44
873	Bob	51
874	Hero	35
874	Bob	38
874	Charly	41
875	Charly	31
875	Hero	45
875	Bob	55
878	Alice	62
878	Bob	74
878	Charly	84
872	Charly	240
872	Bob	249
872	Hero	254
882	Hero	34
882	Alice	44
882	Bob	46
886	Hero	33
886	Charly	34
886	Alice	65
885	Alice	136
885	Hero	138
885	Bob	164
888	Bob	23
888	Charly	29
888	Alice	58
887	Alice	36
887	Bob	36
887	Hero	85
889	Alice	34
889	Hero	60
889	Charly	70
891	Bob	61
891	Charly	79
891	Alice	88
890	Bob	55
890	Charly	56
890	Hero	91
892	Alice	39
892	Bob	45
892	Hero	57
893	Alice	23
893	Bob	26
893	Hero	36
894	Hero	17
894	Charly	23
894	Alice	34
883	Hero	503
883	Bob	516
896	Charly	41
896	Bob	43
896	Hero	66
895	Charly	73
895	Bob	80
895	Hero	85
897	Alice	83
897	Charly	90
897	Hero	105
899	Alice	44
899	Bob	56
899	Charly	61
902	Charly	28
902	Alice	29
902	Hero	42
903	Charly	65
903	Hero	68
903	Bob	72
907	Alice	29
907	Charly	31
907	Bob	36
905	Bob	161
905	Alice	185
905	Charly	195
908	Alice	45
908	Charly	46
908	Bob	66
909	Bob	58
909	Charly	64
909	Hero	68
901	Alice	51
901	Bob	517
901	Hero	562
914	Alice	37
914	Hero	49
914	Charly	58
913	Alice	141
913	Bob	148
915	Bob	29
915	Hero	34
915	Charly	35
916	Bob	43
916	Alice	54
916	Hero	61
918	Charly	43
918	Hero	49
918	Bob	49
917	Charly	40
917	Hero	44
917	Alice	54
921	Alice	28
921	Hero	40
921	Bob	45
920	Hero	46
920	Bob	85
920	Alice	91
922	Alice	36
922	Hero	44
922	Bob	45
923	Charly	37
923	Alice	40
923	Hero	47
925	Charly	25
925	Bob	33
925	Hero	43
912	Alice	425
912	Bob	446
912	Hero	460
926	Hero	54
926	Charly	80
926	Bob	83
924	Charly	64
924	Alice	74
924	Hero	169
929	Hero	33
929	Charly	56
929	Bob	59
928	Charly	73
928	Hero	82
928	Alice	103
931	Alice	37
931	Hero	73
931	Charly	86
932	Charly	40
932	Bob	53
932	Hero	64
933	Hero	66
933	Charly	70
933	Bob	74
934	Alice	40
934	Bob	42
934	Hero	52
935	Bob	49
935	Alice	51
935	Charly	55
936	Charly	65
936	Alice	70
936	Bob	75
939	Alice	66
939	Hero	68
939	Bob	76
940	Bob	25
940	Hero	42
940	Charly	105
941	Hero	44
941	Bob	62
941	Charly	70
944	Bob	89
944	Charly	91
944	Hero	198
946	Hero	59
946	Charly	69
946	Bob	73
947	Charly	102
947	Hero	110
947	Alice	120
948	Hero	64
948	Alice	72
948	Bob	74
951	Bob	28
951	Hero	32
951	Alice	43
950	Hero	37
950	Charly	40
950	Alice	67
954	Bob	40
954	Charly	44
954	Hero	50
953	Bob	46
953	Charly	53
953	Alice	60
955	Charly	18
955	Bob	19
955	Hero	54
957	Hero	42
957	Bob	57
957	Alice	57
952	Charly	113
952	Hero	138
952	Bob	180
960	Alice	28
960	Bob	31
960	Charly	36
958	Hero	84
958	Charly	99
958	Alice	110
959	Charly	30
959	Alice	67
959	Hero	75
961	Alice	55
961	Charly	62
961	Bob	72
963	Bob	33
963	Alice	38
963	Charly	47
964	Alice	41
964	Bob	48
964	Hero	54
966	Hero	88
966	Alice	99
966	Bob	120
968	Bob	25
968	Charly	30
968	Hero	35
967	Charly	181
967	Bob	189
967	Alice	211
970	Hero	45
970	Charly	49
970	Alice	58
969	Alice	60
969	Charly	154
969	Bob	160
972	Bob	106
972	Hero	119
972	Alice	155
974	Charly	41
974	Alice	42
974	Bob	50
975	Charly	50
975	Hero	61
975	Bob	64
976	Bob	50
976	Charly	60
976	Hero	71
979	Charly	33
979	Hero	40
979	Alice	46
981	Bob	24
981	Charly	33
981	Alice	34
980	Bob	52
980	Charly	69
980	Hero	77
982	Alice	40
982	Bob	51
982	Hero	143
984	Alice	70
984	Charly	87
984	Bob	114
987	Alice	43
987	Hero	54
987	Charly	70
986	Alice	75
986	Hero	119
985	Hero	43
985	Charly	92
985	Alice	176
988	Charly	39
988	Hero	47
988	Bob	49
990	Alice	38
990	Charly	48
990	Hero	61
989	Hero	45
989	Alice	71
989	Bob	93
992	Bob	47
992	Charly	53
992	Hero	56
993	Hero	29
993	Alice	37
993	Charly	54
994	Charly	30
994	Hero	35
994	Bob	73
995	Bob	51
995	Charly	62
995	Alice	62
997	Hero	55
997	Bob	61
997	Charly	65
998	Bob	47
998	Alice	60
998	Hero	72
999	Bob	40
999	Charly	55
999	Alice	58
1000	Bob	38
1000	Hero	50
1000	Alice	56
